#https://volby.cz/pls/ps2013/ps111?xjazyk=CZ&xkraj=1&xstrana=0&xv=1&xt=1
cislo;strana;porc;jmeno;vek;nav;pol;abs;rel;man;porman
4;TOP 09;30;Cagašová Jana Bc.;28;TOP 09;TOP 09;884;0,65;-;23
5;HLVZHŮRU;3;Caldr Pavel;36;HLVZHŮRU;BEZPP;142;5,48;-;-
12;PB;1;Cibulka Petr;62;PB;PB;159;12,97;-;-
10;SsČR;28;Cihelka Josef;69;SsČR;SsČR;3;0,40;-;-
2;Svobodní;13;Csirik Roman Ing.;42;Svobodní;Svobodní;50;0,22;-;-
24;KČ;13;Čadil Matěj;27;KČ;KČ;14;1,16;-;-
17;Úsvit;24;Čapek Jiří;36;Úsvit;BEZPP;103;0,54;-;23
6;ODS;3;Černochová Jana Mgr.;40;ODS;ODS;8644;12,28;*;3
12;PB;17;Černota Miroslav;55;PB;BEZPP;1;0,08;-;-
17;Úsvit;6;Červenka David Mgr.;31;Úsvit;BEZPP;500;2,66;-;5
20;ANO 2011;9;Červíčková Monika Ing.;46;ANO 2011;ANO 2011;1209;1,25;-;4
13;Suveren.;15;Číla Ivan;61;Suveren.;Suveren.;4;0,50;-;-
11;KDU-ČSL;6;Čižinský Jan Mgr.;35;KDU-ČSL;KDU-ČSL;5707;17,80;-;1
21;KSČM;19;Čunátová Jana Ing.;68;KSČM;KSČM;428;0,85;-;17
6;ODS;21;Damaška David Ing. arch. Ph.D.;43;ODS;ODS;976;1,38;-;17
10;SsČR;33;Danda Miloslav;67;SsČR;BEZPP;4;0,54;-;-
10;SsČR;25;Danda Tomáš;61;SsČR;SsČR;13;1,76;-;-
11;KDU-ČSL;34;Daniel Josef;48;KDU-ČSL;KDU-ČSL;64;0,19;-;33
3;Piráti;6;Dérer Ivan Ing.;46;Piráti;BEZPP;416;1,95;-;-
9;Změna;3;Dienstbierová Jiřina Ing.;58;Změna;BEZPP;287;6,52;-;-
22;LEV 21;4;Dimitrov Kosta Ing.;64;LEV 21;LEV 21;6;1,59;-;-
4;TOP 09;20;Dlouhý Martin doc. Ing. Mgr. Dr., MSc;43;TOP 09;TOP 09;3187;2,35;-;13
18;DSSS;30;Dobříchovský Marek;24;DSSS;BEZPP;3;0,12;-;-
2;Svobodní;25;Dohnal Tomáš Ing.;30;Svobodní;Svobodní;62;0,28;-;-
21;KSČM;2;Dolejš Jiří Ing.;52;KSČM;KSČM;8219;16,44;*;1
23;SZ;23;Dolejšek Čestmír Bc.;30;SZ;SZ;596;1,57;-;-
4;TOP 09;29;Doležal Marek Ing.;43;TOP 09;TOP 09;347;0,25;-;22
15;SPOZ;26;Doubětová Martina Mgr.;43;SPOZ;BEZPP;29;0,53;-;-
2;Svobodní;29;Douša Jaroslav;48;Svobodní;Svobodní;30;0,13;-;-
12;PB;32;Drábek Pavel;53;PB;BEZPP;6;0,48;-;-
11;KDU-ČSL;16;Drápal Dan;64;KDU-ČSL;KDU-ČSL;1015;3,16;-;15
6;ODS;16;Drážný Ivo JUDr.;49;ODS;ODS;678;0,96;-;12
23;SZ;4;Drhová Zuzana Ing. Ph.D.;50;SZ;SZ;1712;4,51;-;-
17;Úsvit;11;Dudjak Aleš Ing.;34;Úsvit;BEZPP;118;0,62;-;10
23;SZ;30;Ducháčková Chotková Pavla Mgr.;33;SZ;SZ;137;0,36;-;-
12;PB;4;Durdil Miroslav;64;PB;BEZPP;39;3,18;-;-
17;Úsvit;18;Dusilová Ivana Ing.;48;Úsvit;BEZPP;232;1,23;-;17
22;LEV 21;25;Dušková Blanka MUDr.;59;LEV 21;BEZPP;4;1,06;-;-
18;DSSS;33;Dvorská Eva;45;DSSS;BEZPP;16;0,64;-;-
15;SPOZ;14;Dvořáčková Monika Ing.;31;SPOZ;SPOZ;41;0,75;-;-
22;LEV 21;14;Dvořák Ivan;57;LEV 21;LEV 21;12;3,19;-;-
15;SPOZ;20;Dvořáková Iveta;45;SPOZ;SPOZ;22;0,40;-;-
13;Suveren.;36;Dykast František;63;Suveren.;BEZPP;6;0,75;-;-
2;Svobodní;21;Effenberger Jan;68;Svobodní;Svobodní;70;0,31;-;-
10;SsČR;20;Eisenhauer Petr;38;SsČR;SsČR;24;3,25;-;-
9;Změna;11;Elexa Marek;40;Změna;"Z";7;0,15;-;-
3;Piráti;15;Esner Vladislav Tobias;31;Piráti;Piráti;59;0,27;-;-
21;KSČM;22;Exnerová Suzana;69;KSČM;BEZPP;228;0,45;-;20
17;Úsvit;35;Fabian Václav;37;Úsvit;BEZPP;27;0,14;-;34
24;KČ;18;Fait Luboš;56;KČ;BEZPP;19;1,57;-;-
9;Změna;14;Feminová Dana;43;Změna;HS;55;1,24;-;-
11;KDU-ČSL;23;Feranc Daniel Mgr. Ph.D.;33;KDU-ČSL;KDU-ČSL;352;1,09;-;22
12;PB;29;Fiedler Ladislav;45;PB;BEZPP;1;0,08;-;-
6;ODS;30;Fifka Petr PharmDr.;46;ODS;ODS;316;0,44;-;26
20;ANO 2011;5;Fichtner Matěj PhDr. Ing. MBA;29;ANO 2011;ANO 2011;2062;2,13;*;5
5;HLVZHŮRU;31;Fikarová Jindřiška RNDr.;69;HLVZHŮRU;BEZPP;72;2,77;-;-
3;Piráti;13;Findeis Lukáš;28;Piráti;Piráti;54;0,25;-;-
9;Změna;1;Fischerová Taťana;66;Změna;KH;1349;30,65;-;-
9;Změna;29;Fišera Jan BcA.;28;Změna;BEZPP;5;0,11;-;-
10;SsČR;29;Fojtík František JUDr.;61;SsČR;SsČR;2;0,27;-;-
12;PB;9;Foltis Karel Ing.;47;PB;BEZPP;7;0,57;-;-
22;LEV 21;30;Formánek Josef Bc.;39;LEV 21;LEV 21;6;1,59;-;-
15;SPOZ;15;Franěk Miroslav Mgr.;50;SPOZ;SPOZ;46;0,84;-;-
4;TOP 09;16;Frankenbergerová Helena Ing.;64;TOP 09;TOP 09;798;0,59;-;9
21;KSČM;9;Fraňková Marcela;51;KSČM;KSČM;621;1,24;-;7
6;ODS;22;Frélich Martin Ing.;36;ODS;ODS;359;0,51;-;18
12;PB;12;Froněk Roman;55;PB;BEZPP;4;0,32;-;-
13;Suveren.;19;Froňková Dousková Gabriela Mgr.;43;Suveren.;BEZPP;18;2,25;-;-
24;KČ;34;Funk Lukáš Mgr. DiS.;31;KČ;BEZPP;10;0,82;-;-
6;ODS;15;Gabriel Jan Bc.;42;ODS;ODS;684;0,97;-;11
17;Úsvit;31;Glaser Bedřich;55;Úsvit;BEZPP;58;0,30;-;30
21;KSČM;10;Gottwald Josef;42;KSČM;KSČM;1042;2,08;-;8
13;Suveren.;16;Grabowská Anna;54;Suveren.;BEZPP;17;2,13;-;-
9;Změna;13;Grebo Mladen Mgr.;33;Změna;BEZPP;17;0,38;-;-
24;KČ;22;Gregor Radovan RNDr. CSc.;64;KČ;BEZPP;4;0,33;-;-
6;ODS;6;Gros Ondřej;38;ODS;ODS;934;1,32;-;3
17;Úsvit;7;Groszek Andrzej-Antoni;57;Úsvit;BEZPP;42;0,22;-;6
18;DSSS;5;Günther Petr;47;DSSS;DSSS;40;1,61;-;-
21;KSČM;3;Gušlbauerová Dagmar;60;KSČM;KSČM;1099;2,19;-;1
6;ODS;14;Habart Michal Ing.;48;ODS;ODS;677;0,96;-;10
20;ANO 2011;7;Hackl Alan Ing.;52;ANO 2011;ANO 2011;546;0,56;-;2
22;LEV 21;29;Hadrava Jiří;69;LEV 21;LEV 21;2;0,53;-;-
9;Změna;35;Hainzová Barbora MrA.;27;Změna;BEZPP;8;0,18;-;-
18;DSSS;32;Hájek Zbyněk;34;DSSS;BEZPP;15;0,60;-;-
4;TOP 09;11;Hájková Pavlina Mgr.;52;TOP 09;TOP 09;1344;0,99;-;4
1;ČSSD;30;Halová Hana Mgr.;60;ČSSD;ČSSD;985;1,19;-;26
18;DSSS;29;Hanuš Michal;21;DSSS;BEZPP;9;0,36;-;-
1;ČSSD;33;Hanuš Miloslav;52;ČSSD;ČSSD;401;0,48;-;29
2;Svobodní;16;Hanzák Tomáš Mgr.;30;Svobodní;Svobodní;117;0,53;-;-
6;ODS;4;Hanzlík Karel Mgr.;47;ODS;ODS;3009;4,27;-;2
22;LEV 21;16;Harvánek Petr;64;LEV 21;LEV 21;1;0,26;-;-
2;Svobodní;19;Haurythun Hana Mgr. Bc.;32;Svobodní;Svobodní;109;0,49;-;-
5;HLVZHŮRU;30;Haurythun Petr;36;HLVZHŮRU;UNP;35;1,35;-;-
12;PB;30;Hauserová Eva;28;PB;BEZPP;5;0,40;-;-
15;SPOZ;17;Havlíček Vlastimil Mgr.;41;SPOZ;SPOZ;36;0,66;-;-
18;DSSS;25;Heidl Tomáš;45;DSSS;BEZPP;11;0,44;-;-
2;Svobodní;6;Hejdová Alice;40;Svobodní;Svobodní;376;1,71;-;-
1;ČSSD;26;Hejkrlík Milan Ing.;35;ČSSD;ČSSD;834;1,00;-;22
12;PB;7;Hejl Petr Ing. CSc.;59;PB;BEZPP;15;1,22;-;-
10;SsČR;1;Hemer Aleš Mgr.;46;SsČR;SsČR;70;9,48;-;-
24;KČ;9;Henn Ivan Mgr. Bc.;59;KČ;BEZPP;8;0,66;-;-
9;Změna;27;Hepnar Petr;42;Změna;BEZPP;46;1,04;-;-
11;KDU-ČSL;1;Herman Daniel Mgr.;50;KDU-ČSL;KDU-ČSL;6305;19,67;*;1
9;Změna;20;Heřtusová Simona;39;Změna;HS;37;0,84;-;-
23;SZ;11;Himl Pavel Dr. phil.;42;SZ;SZ;790;2,08;-;-
18;DSSS;27;Hlaváčková Jaroslava;68;DSSS;BEZPP;8;0,32;-;-
11;KDU-ČSL;29;Hlaváčová Martina Ing.;32;KDU-ČSL;BEZPP;355;1,10;-;28
13;Suveren.;28;Hloták Valdemar Ing. CSc.;71;Suveren.;BEZPP;6;0,75;-;-
10;SsČR;7;Hnát Václav;67;SsČR;SsČR;8;1,08;-;-
13;Suveren.;22;Hodek Jindřich;36;Suveren.;BEZPP;5;0,62;-;-
1;ČSSD;36;Hodek Pavel Mgr. Bc.;39;ČSSD;ČSSD;320;0,38;-;32
24;KČ;35;Hodík Jaroslav;68;KČ;BEZPP;5;0,41;-;-
21;KSČM;15;Hoffman František JUDr.;62;KSČM;KSČM;663;1,32;-;13
20;ANO 2011;4;Holeček Jiří Bc.;41;ANO 2011;ANO 2011;2099;2,17;*;4
13;Suveren.;31;Holečková Šárka;23;Suveren.;BEZPP;5;0,62;-;-
18;DSSS;28;Holík Petr;42;DSSS;BEZPP;14;0,56;-;-
3;Piráti;17;Holovský Sebastian;28;Piráti;Piráti;161;0,75;-;-
2;Svobodní;35;Holubová Alice;28;Svobodní;Svobodní;69;0,31;-;-
17;Úsvit;32;Hora Jan;29;Úsvit;BEZPP;95;0,50;-;31
21;KSČM;8;Horák Jiří PhDr. CSc.;60;KSČM;KSČM;506;1,01;-;6
22;LEV 21;2;Horák Karel JUDr. Mgr.;46;LEV 21;LEV 21;17;4,52;-;-
21;KSČM;32;Hošek Karel RSDr.;68;KSČM;KSČM;68;0,13;-;30
11;KDU-ČSL;5;Hošek Marián MUDr.;62;KDU-ČSL;KDU-ČSL;2420;7,55;-;3
24;KČ;25;Hošťálek Stanislav PhDr.;66;KČ;BEZPP;5;0,41;-;-
23;SZ;17;Hrabal Ladislav Ing. CSc.;75;SZ;BEZPP;184;0,48;-;-
10;SsČR;23;Hrádek Ladislav;56;SsČR;BEZPP;11;1,49;-;-
20;ANO 2011;22;Hrdličková Radka Bc.;35;ANO 2011;ANO 2011;437;0,45;-;17
23;SZ;9;Hromada Jiří MgA.;55;SZ;BEZPP;1513;3,99;-;-
21;KSČM;36;Hronová Alena Mgr.;62;KSČM;KSČM;121;0,24;-;34
9;Změna;15;Hrušínský Martin;28;Změna;HS;78;1,77;-;-
21;KSČM;6;Hrůza Ivan JUDr.;59;KSČM;KSČM;1511;3,02;-;4
21;KSČM;20;Hudeček Jiří prof. RNDr. CSc.;59;KSČM;SDS;934;1,86;-;18
11;KDU-ČSL;36;Hulicius Eduard Mgr. MA;32;KDU-ČSL;KDU-ČSL;699;2,18;-;35
23;SZ;8;Hůlová Petra Ph.D.;34;SZ;SZ;2648;6,98;-;-
21;KSČM;24;Chaloupka Vladimír;55;KSČM;KSČM;169;0,33;-;22
4;TOP 09;9;Chlupáčová Zuzana JUDr.;58;TOP 09;STAN;3590;2,65;-;2
13;Suveren.;7;Chovancová Marta JUDr. LL.M.;55;Suveren.;BEZPP;31;3,88;-;-
22;LEV 21;27;Chrpa Pavel;55;LEV 21;LEV 21;2;0,53;-;-
17;Úsvit;25;Chudý Stanislav Ing.;74;Úsvit;BEZPP;44;0,23;-;24
5;HLVZHŮRU;8;Jakubův Michaela;37;HLVZHŮRU;SBB;82;3,16;-;-
15;SPOZ;11;Janda Jiří;54;SPOZ;SPOZ;23;0,42;-;-
2;Svobodní;33;Janda Karel Ing.;33;Svobodní;Svobodní;39;0,17;-;-
6;ODS;7;Janderová Jaroslava JUDr.;63;ODS;ODS;1468;2,08;-;4
5;HLVZHŮRU;5;Janeček Jiří;39;HLVZHŮRU;BEZPP;78;3,01;-;-
15;SPOZ;4;Janková Vlasta MUDr.;62;SPOZ;SPOZ;271;4,99;-;-
20;ANO 2011;23;Jankovský Milan Ing.;27;ANO 2011;ANO 2011;245;0,25;-;18
6;ODS;35;Janků Jiří Ing.;46;ODS;ODS;983;1,39;-;31
21;KSČM;31;Janouch Roman Mgr.;40;KSČM;KSČM;517;1,03;-;29
6;ODS;34;Jarolím Jan Ing.;67;ODS;ODS;844;1,19;-;30
23;SZ;2;Jechová Kateřina Mgr.;51;SZ;SZ;2174;5,73;-;-
20;ANO 2011;15;Jetmar Petr;58;ANO 2011;ANO 2011;201;0,20;-;10
17;Úsvit;34;Ježková Jitka;33;Úsvit;BEZPP;143;0,76;-;33
18;DSSS;19;Jiránek František;43;DSSS;DSSS;16;0,64;-;-
6;ODS;33;Jirásková Markéta MUDr.;64;ODS;ODS;1001;1,42;-;29
11;KDU-ČSL;17;Jirsák Tomáš Mgr.;41;KDU-ČSL;KDU-ČSL;357;1,11;-;16
22;LEV 21;34;Jirsáková Jarmila;60;LEV 21;LEV 21;3;0,79;-;-
4;TOP 09;23;Jiřík Michal;43;TOP 09;TOP 09;159;0,11;-;16
10;SsČR;26;Jůna Josef;32;SsČR;SsČR;20;2,71;-;-
5;HLVZHŮRU;33;Kabíčková Jana;53;HLVZHŮRU;UNP;26;1,00;-;-
13;Suveren.;27;Kabíčková Zuzana;35;Suveren.;BEZPP;12;1,50;-;-
11;KDU-ČSL;20;Kajpr Daniel;44;KDU-ČSL;KDU-ČSL;226;0,70;-;19
3;Piráti;8;Kallasch Ondřej;22;Piráti;Piráti;257;1,20;-;-
16;OBČ_2011;2;Kalousková Šorfová Alžběta Mgr.;45;OBČ_2011;BEZPP;27;5,93;-;-
13;Suveren.;33;Karlovský Jindřich Ing.;59;Suveren.;BEZPP;5;0,62;-;-
24;KČ;8;Kartáková Daniela;48;KČ;BEZPP;18;1,49;-;-
5;HLVZHŮRU;20;Kasal Karel;63;HLVZHŮRU;BEZPP;17;0,65;-;-
15;SPOZ;36;Kasík Jiří MUDr. Ph.D.;57;SPOZ;BEZPP;174;3,20;-;-
9;Změna;31;Kastel Miroslav;58;Změna;BEZPP;20;0,45;-;-
12;PB;36;Kašparová Barbora;22;PB;BEZPP;13;1,06;-;-
24;KČ;32;Kaššovicová Zuzana Mgr.;55;KČ;BEZPP;9;0,74;-;-
22;LEV 21;18;Kavale Jiří JUDr.;66;LEV 21;LEV 21;6;1,59;-;-
23;SZ;28;Kavková Eva Mgr.;37;SZ;SZ;573;1,51;-;-
2;Svobodní;36;Kefurt Robert;50;Svobodní;Svobodní;42;0,19;-;-
10;SsČR;9;Kesl Karel;58;SsČR;BEZPP;11;1,49;-;-
3;Piráti;19;Kheck Patrick Mgr.;32;Piráti;BEZPP;89;0,41;-;-
5;HLVZHŮRU;12;Kindler Kryštof;35;HLVZHŮRU;PaS;95;3,66;-;-
13;Suveren.;10;Kinkal Luděk DiS.;51;Suveren.;BEZPP;4;0,50;-;-
17;Úsvit;29;Klaus Václav;57;Úsvit;BEZPP;283;1,50;-;28
9;Změna;30;Kleinová Brzáková Pavlína Mgr. PhD.;41;Změna;BEZPP;109;2,47;-;-
1;ČSSD;5;Klíma Karel Ing.;37;ČSSD;ČSSD;2478;2,99;-;2
15;SPOZ;31;Klimtová Vítězslava;72;SPOZ;BEZPP;33;0,60;-;-
11;KDU-ČSL;35;Klouda Jan Ing.;43;KDU-ČSL;KDU-ČSL;135;0,42;-;34
5;HLVZHŮRU;4;Kloudová Gabriela Ing.;31;HLVZHŮRU;BEZPP;128;4,94;-;-
13;Suveren.;3;Klusáček Michal Ing.;34;Suveren.;ČSNS;27;3,38;-;-
13;Suveren.;17;Kobes Jan Ing.;50;Suveren.;BEZPP;3;0,37;-;-
6;ODS;32;Kodetová Soňa;68;ODS;ODS;1158;1,64;-;28
6;ODS;5;Kohoutová Lenka Bc.;45;ODS;ODS;3791;5,38;-;1
21;KSČM;35;Kokoška Petr JUDr.;58;KSČM;BEZPP;227;0,45;-;33
24;KČ;6;Kolář Milan;57;KČ;KČ;6;0,49;-;-
23;SZ;6;Kolínská Petra Mgr.;38;SZ;SZ;3041;8,02;-;-
23;SZ;34;Kolmanová Dagmar;54;SZ;SZ;76;0,20;-;-
10;SsČR;35;Kolmašová Renáta;35;SsČR;BEZPP;2;0,27;-;-
13;Suveren.;20;Kolomý Luděk;60;Suveren.;BEZPP;1;0,12;-;-
15;SPOZ;34;Konečná Naděžda;50;SPOZ;SPOZ;10;0,18;-;-
4;TOP 09;14;Korba Karel Ing.;45;TOP 09;TOP 09;1127;0,83;-;7
4;TOP 09;3;Korte Daniel PhDr.;60;TOP 09;TOP 09;4620;3,41;*;3
18;DSSS;31;Kořínková Šárka;42;DSSS;BEZPP;9;0,36;-;-
20;ANO 2011;26;Kos Ladislav Ing.;55;ANO 2011;HPP 11;611;0,63;-;21
6;ODS;9;Kos Vojtěch Ing. MBA;41;ODS;ODS;1320;1,87;-;6
1;ČSSD;12;Koskuba Jiří MUDr.;57;ČSSD;ČSSD;4772;5,77;*;2
9;Změna;8;Kostlánová Roubalová Věra Ing.;65;Změna;BEZPP;83;1,88;-;-
6;ODS;26;Košan Petr Ing.;32;ODS;ODS;776;1,10;-;22
24;KČ;4;Košová Kateřina;33;KČ;BEZPP;33;2,73;-;-
21;KSČM;23;Kotek Tomáš;40;KSČM;KSČM;895;1,79;-;21
15;SPOZ;29;Kotoučová Michaela DiS.;35;SPOZ;SPOZ;21;0,38;-;-
23;SZ;12;Kotvová Iva Mgr.;54;SZ;SZ;411;1,08;-;-
2;Svobodní;24;Kouba Jáchym;26;Svobodní;Svobodní;77;0,35;-;-
4;TOP 09;7;Koubek Jiří Mgr.;37;TOP 09;TOP 09;1838;1,36;*;7
6;ODS;25;Kousalíková Marie Ing.;67;ODS;ODS;2203;3,13;-;21
17;Úsvit;23;Koutný Daniel;31;Úsvit;BEZPP;91;0,48;-;22
21;KSČM;4;Krajča Milan;30;KSČM;KSČM;1436;2,87;-;2
11;KDU-ČSL;26;Král Jiří Mgr.;40;KDU-ČSL;KDU-ČSL;118;0,36;-;25
13;Suveren.;12;Kramný Miloslav MUDr.;55;Suveren.;BEZPP;16;2,00;-;-
2;Svobodní;12;Krása Tomáš Ing.;42;Svobodní;Svobodní;194;0,88;-;-
24;KČ;3;Krátký Petr Mgr. Bc. BBS;38;KČ;KČ;43;3,56;-;-
5;HLVZHŮRU;7;Kratochvílová Naděžda JUDr.;49;HLVZHŮRU;UNP;46;1,77;-;-
23;SZ;14;Kratochvílová Silvie Mgr.;35;SZ;SZ;245;0,64;-;-
3;Piráti;9;Krausová Michaela;21;Piráti;Piráti;524;2,45;-;-
5;HLVZHŮRU;22;Krausová Natália Bc.;41;HLVZHŮRU;BEZPP;14;0,54;-;-
24;KČ;30;Krček Jan;71;KČ;KČ;9;0,74;-;-
17;Úsvit;14;Krček Milan Ing.;50;Úsvit;BEZPP;236;1,25;-;13
1;ČSSD;22;Krejčová Drahoslava;51;ČSSD;ČSSD;364;0,44;-;18
12;PB;14;Krejčů Jiří;45;PB;BEZPP;16;1,30;-;-
4;TOP 09;32;Krobová Hášová Monika JUDr.;50;TOP 09;TOP 09;1212;0,89;-;25
15;SPOZ;5;Kroh Michael doc. Ing. CSc.;65;SPOZ;SPOZ;172;3,16;-;-
17;Úsvit;4;Krůta Jan;67;Úsvit;BEZPP;506;2,69;-;3
18;DSSS;15;Křivánek Karel;49;DSSS;DSSS;28;1,13;-;-
5;HLVZHŮRU;34;Křivánková Klisáková Dana;37;HLVZHŮRU;UNP;22;0,84;-;-
24;KČ;36;Kubečka Ivo;68;KČ;BEZPP;5;0,41;-;-
2;Svobodní;4;Kubíček Jiří Ing.;33;Svobodní;Svobodní;812;3,70;-;-
10;SsČR;18;Kučera Robert;44;SsČR;SsČR;25;3,38;-;-
11;KDU-ČSL;31;Kuchařová Ludmila Mgr.;53;KDU-ČSL;KDU-ČSL;129;0,40;-;30
11;KDU-ČSL;27;Kuchtová Perla Ing. Ph.D.;54;KDU-ČSL;KDU-ČSL;229;0,71;-;26
5;HLVZHŮRU;17;Kůs Daniel Ing.;41;HLVZHŮRU;UNP;15;0,57;-;-
12;PB;5;Kutina František;56;PB;BEZPP;9;0,73;-;-
