#https://volby.cz/pls/ps2013/ps111?xjazyk=CZ&xkraj=1&xstrana=0&xv=1&xt=1
cislo;strana;porc;jmeno;vek;nav;pol;abs;rel;man;porman
17;Usvit;20;Benek Vitezslav;51;Usvit;BEZPP;58;0,30;-;19
16;OBC_2011;4;Benes Frantisek;54;OBC_2011;OBC_2011;15;3,29;-;-
21;KSCM;18;Benes Frantisek Ing. CSc.;69;KSCM;KSCM;738;1,47;-;16
16;OBC_2011;8;Benesova Petra Ing.;29;OBC_2011;OBC_2011;24;5,27;-;-
12;PB;2;Benysek Jiri;23;PB;BEZPP;36;2,93;-;-
23;SZ;24;Benyskova Helena;32;SZ;SZ;181;0,47;-;-
16;OBC_2011;3;Beranova Monika;51;OBC_2011;OBC_2011;20;4,39;-;-
24;KC;31;Bernard Darius;47;KC;BEZPP;4;0,33;-;-
22;LEV 21;1;Bernardova Tereza Bc.;31;LEV 21;LEV 21;18;4,78;-;-
9;Zmena;12;Bicakova Vlasta;39;Zmena;KH;51;1,15;-;-
15;SPOZ;9;Bilek Vitezslav;68;SPOZ;SPOZ;34;0,62;-;-
13;Suveren.;4;Blasko Marek Ing.;37;Suveren.;BEZPP;27;3,38;-;-
6;ODS;11;Blazek Frantisek;48;ODS;ODS;891;1,26;-;7
20;ANO 2011;17;Bockova Romana Ing.;46;ANO 2011;ANO 2011;509;0,52;-;12
24;KC;5;Bohdanecky Zdenek;36;KC;KC;15;1,24;-;-
4;TOP 09;34;Bonhomme Hankeova Zuzana MUDr. MIB;54;TOP 09;TOP 09;1139;0,84;-;27
22;LEV 21;13;Bouzek Petr Ing. MUDr.;52;LEV 21;LEV 21;5;1,32;-;-
24;KC;23;Brabec Jiri;64;KC;BEZPP;4;0,33;-;-
17;Usvit;3;Brandeisova Sona;70;Usvit;BEZPP;413;2,20;-;2
24;KC;20;Brant Petr;63;KC;BEZPP;2;0,16;-;-
15;SPOZ;8;Brettl Vojtech PhDr.;35;SPOZ;SPOZ;108;1,99;-;-
21;KSCM;16;Briardova Helena PhDr.;66;KSCM;KSCM;350;0,70;-;14
16;OBC_2011;6;Brichta Ales Ing.;54;OBC_2011;BEZPP;94;20,65;-;-
5;HLVZHURU;24;Brotanek Tomas Bc.;35;HLVZHURU;BEZPP;11;0,42;-;-
15;SPOZ;21;Brunner Jan;63;SPOZ;SPOZ;55;1,01;-;-
11;KDU-CSL;12;Bruthans Jan MUDr. CSc., FESC;65;KDU-CSL;KDU-CSL;724;2,25;-;11
24;KC;28;Brezina Karel;40;KC;BEZPP;9;0,74;-;-
18;DSSS;3;Bubla Jiri Mgr.;41;DSSS;DSSS;53;2,14;-;-
23;SZ;25;Budin Lukas Mgr.;34;SZ;SZ;263;0,69;-;-
18;DSSS;2;Budz Ladislav;37;DSSS;DSSS;95;3,84;-;-
24;KC;27;Bukacova Irena PhDr.;64;KC;BEZPP;19;1,57;-;-
10;SsCR;21;Burger Daniel;36;SsCR;KONS;14;1,89;-;-
11;KDU-CSL;25;Burgr Petr;60;KDU-CSL;KDU-CSL;245;0,76;-;24
9;Zmena;9;Burian Jan Ing. Ph.D.;39;Zmena;BEZPP;91;2,06;-;-
23;SZ;10;Cabrnochova Ivana Mgr.;39;SZ;SZ;1138;3,00;-;-
12;PB;3;Cafourek Josef;65;PB;BEZPP;20;1,63;-;-
4;TOP 09;30;Cagasova Jana Bc.;28;TOP 09;TOP 09;884;0,65;-;23
5;HLVZHURU;3;Caldr Pavel;36;HLVZHURU;BEZPP;142;5,48;-;-
12;PB;1;Cibulka Petr;62;PB;PB;159;12,97;-;-
10;SsCR;28;Cihelka Josef;69;SsCR;SsCR;3;0,40;-;-
2;Svobodni;13;Csirik Roman Ing.;42;Svobodni;Svobodni;50;0,22;-;-
24;KC;13;Cadil Matej;27;KC;KC;14;1,16;-;-
17;Usvit;24;Capek Jiri;36;Usvit;BEZPP;103;0,54;-;23
6;ODS;3;Cernochova Jana Mgr.;40;ODS;ODS;8644;12,28;*;3
12;PB;17;Cernota Miroslav;55;PB;BEZPP;1;0,08;-;-
17;Usvit;6;Cervenka David Mgr.;31;Usvit;BEZPP;500;2,66;-;5
20;ANO 2011;9;Cervickova Monika Ing.;46;ANO 2011;ANO 2011;1209;1,25;-;4
13;Suveren.;15;Cila Ivan;61;Suveren.;Suveren.;4;0,50;-;-
11;KDU-CSL;6;Cizinsky Jan Mgr.;35;KDU-CSL;KDU-CSL;5707;17,80;-;1
21;KSCM;19;Cunatova Jana Ing.;68;KSCM;KSCM;428;0,85;-;17
6;ODS;21;Damaska David Ing. arch. Ph.D.;43;ODS;ODS;976;1,38;-;17
10;SsCR;33;Danda Miloslav;67;SsCR;BEZPP;4;0,54;-;-
10;SsCR;25;Danda Tomas;61;SsCR;SsCR;13;1,76;-;-
11;KDU-CSL;34;Daniel Josef;48;KDU-CSL;KDU-CSL;64;0,19;-;33
3;Pirati;6;Derer Ivan Ing.;46;Pirati;BEZPP;416;1,95;-;-
9;Zmena;3;Dienstbierova Jirina Ing.;58;Zmena;BEZPP;287;6,52;-;-
22;LEV 21;4;Dimitrov Kosta Ing.;64;LEV 21;LEV 21;6;1,59;-;-
4;TOP 09;20;Dlouhy Martin doc. Ing. Mgr. Dr., MSc;43;TOP 09;TOP 09;3187;2,35;-;13
18;DSSS;30;Dobrichovsky Marek;24;DSSS;BEZPP;3;0,12;-;-
2;Svobodni;25;Dohnal Tomas Ing.;30;Svobodni;Svobodni;62;0,28;-;-
21;KSCM;2;Dolejs Jiri Ing.;52;KSCM;KSCM;8219;16,44;*;1
23;SZ;23;Dolejsek Cestmir Bc.;30;SZ;SZ;596;1,57;-;-
4;TOP 09;29;Dolezal Marek Ing.;43;TOP 09;TOP 09;347;0,25;-;22
15;SPOZ;26;Doubetova Martina Mgr.;43;SPOZ;BEZPP;29;0,53;-;-
2;Svobodni;29;Dousa Jaroslav;48;Svobodni;Svobodni;30;0,13;-;-
12;PB;32;Drabek Pavel;53;PB;BEZPP;6;0,48;-;-
11;KDU-CSL;16;Drapal Dan;64;KDU-CSL;KDU-CSL;1015;3,16;-;15
6;ODS;16;Drazny Ivo JUDr.;49;ODS;ODS;678;0,96;-;12
23;SZ;4;Drhova Zuzana Ing. Ph.D.;50;SZ;SZ;1712;4,51;-;-
17;Usvit;11;Dudjak Ales Ing.;34;Usvit;BEZPP;118;0,62;-;10
23;SZ;30;Duchackova Chotkova Pavla Mgr.;33;SZ;SZ;137;0,36;-;-
12;PB;4;Durdil Miroslav;64;PB;BEZPP;39;3,18;-;-
17;Usvit;18;Dusilova Ivana Ing.;48;Usvit;BEZPP;232;1,23;-;17
22;LEV 21;25;Duskova Blanka MUDr.;59;LEV 21;BEZPP;4;1,06;-;-
18;DSSS;33;Dvorska Eva;45;DSSS;BEZPP;16;0,64;-;-
15;SPOZ;14;Dvorackova Monika Ing.;31;SPOZ;SPOZ;41;0,75;-;-
22;LEV 21;14;Dvorak Ivan;57;LEV 21;LEV 21;12;3,19;-;-
15;SPOZ;20;Dvorakova Iveta;45;SPOZ;SPOZ;22;0,40;-;-
13;Suveren.;36;Dykast Frantisek;63;Suveren.;BEZPP;6;0,75;-;-
2;Svobodni;21;Effenberger Jan;68;Svobodni;Svobodni;70;0,31;-;-
10;SsCR;20;Eisenhauer Petr;38;SsCR;SsCR;24;3,25;-;-
9;Zmena;11;Elexa Marek;40;Zmena;"Z";7;0,15;-;-
3;Pirati;15;Esner Vladislav Tobias;31;Pirati;Pirati;59;0,27;-;-
21;KSCM;22;Exnerova Suzana;69;KSCM;BEZPP;228;0,45;-;20
17;Usvit;35;Fabian Vaclav;37;Usvit;BEZPP;27;0,14;-;34
24;KC;18;Fait Lubos;56;KC;BEZPP;19;1,57;-;-
9;Zmena;14;Feminova Dana;43;Zmena;HS;55;1,24;-;-
11;KDU-CSL;23;Feranc Daniel Mgr. Ph.D.;33;KDU-CSL;KDU-CSL;352;1,09;-;22
12;PB;29;Fiedler Ladislav;45;PB;BEZPP;1;0,08;-;-
6;ODS;30;Fifka Petr PharmDr.;46;ODS;ODS;316;0,44;-;26
20;ANO 2011;5;Fichtner Matej PhDr. Ing. MBA;29;ANO 2011;ANO 2011;2062;2,13;*;5
5;HLVZHURU;31;Fikarova Jindriska RNDr.;69;HLVZHURU;BEZPP;72;2,77;-;-
3;Pirati;13;Findeis Lukas;28;Pirati;Pirati;54;0,25;-;-
9;Zmena;1;Fischerova Tatana;66;Zmena;KH;1349;30,65;-;-
9;Zmena;29;Fisera Jan BcA.;28;Zmena;BEZPP;5;0,11;-;-
10;SsCR;29;Fojtik Frantisek JUDr.;61;SsCR;SsCR;2;0,27;-;-
12;PB;9;Foltis Karel Ing.;47;PB;BEZPP;7;0,57;-;-
22;LEV 21;30;Formanek Josef Bc.;39;LEV 21;LEV 21;6;1,59;-;-
15;SPOZ;15;Franek Miroslav Mgr.;50;SPOZ;SPOZ;46;0,84;-;-
4;TOP 09;16;Frankenbergerova Helena Ing.;64;TOP 09;TOP 09;798;0,59;-;9
21;KSCM;9;Frankova Marcela;51;KSCM;KSCM;621;1,24;-;7
6;ODS;22;Frelich Martin Ing.;36;ODS;ODS;359;0,51;-;18
12;PB;12;Fronek Roman;55;PB;BEZPP;4;0,32;-;-
13;Suveren.;19;Fronkova Douskova Gabriela Mgr.;43;Suveren.;BEZPP;18;2,25;-;-
24;KC;34;Funk Lukas Mgr. DiS.;31;KC;BEZPP;10;0,82;-;-
6;ODS;15;Gabriel Jan Bc.;42;ODS;ODS;684;0,97;-;11
17;Usvit;31;Glaser Bedrich;55;Usvit;BEZPP;58;0,30;-;30
21;KSCM;10;Gottwald Josef;42;KSCM;KSCM;1042;2,08;-;8
13;Suveren.;16;Grabowska Anna;54;Suveren.;BEZPP;17;2,13;-;-
9;Zmena;13;Grebo Mladen Mgr.;33;Zmena;BEZPP;17;0,38;-;-
24;KC;22;Gregor Radovan RNDr. CSc.;64;KC;BEZPP;4;0,33;-;-
6;ODS;6;Gros Ondrej;38;ODS;ODS;934;1,32;-;3
17;Usvit;7;Groszek Andrzej-Antoni;57;Usvit;BEZPP;42;0,22;-;6
18;DSSS;5;Gunther Petr;47;DSSS;DSSS;40;1,61;-;-
21;KSCM;3;Guslbauerova Dagmar;60;KSCM;KSCM;1099;2,19;-;1
6;ODS;14;Habart Michal Ing.;48;ODS;ODS;677;0,96;-;10
20;ANO 2011;7;Hackl Alan Ing.;52;ANO 2011;ANO 2011;546;0,56;-;2
22;LEV 21;29;Hadrava Jiri;69;LEV 21;LEV 21;2;0,53;-;-
9;Zmena;35;Hainzova Barbora MrA.;27;Zmena;BEZPP;8;0,18;-;-
18;DSSS;32;Hajek Zbynek;34;DSSS;BEZPP;15;0,60;-;-
4;TOP 09;11;Hajkova Pavlina Mgr.;52;TOP 09;TOP 09;1344;0,99;-;4
1;CSSD;30;Halova Hana Mgr.;60;CSSD;CSSD;985;1,19;-;26
18;DSSS;29;Hanus Michal;21;DSSS;BEZPP;9;0,36;-;-
1;CSSD;33;Hanus Miloslav;52;CSSD;CSSD;401;0,48;-;29
2;Svobodni;16;Hanzak Tomas Mgr.;30;Svobodni;Svobodni;117;0,53;-;-
6;ODS;4;Hanzlik Karel Mgr.;47;ODS;ODS;3009;4,27;-;2
22;LEV 21;16;Harvanek Petr;64;LEV 21;LEV 21;1;0,26;-;-
2;Svobodni;19;Haurythun Hana Mgr. Bc.;32;Svobodni;Svobodni;109;0,49;-;-
5;HLVZHURU;30;Haurythun Petr;36;HLVZHURU;UNP;35;1,35;-;-
12;PB;30;Hauserova Eva;28;PB;BEZPP;5;0,40;-;-
15;SPOZ;17;Havlicek Vlastimil Mgr.;41;SPOZ;SPOZ;36;0,66;-;-
18;DSSS;25;Heidl Tomas;45;DSSS;BEZPP;11;0,44;-;-
2;Svobodni;6;Hejdova Alice;40;Svobodni;Svobodni;376;1,71;-;-
1;CSSD;26;Hejkrlik Milan Ing.;35;CSSD;CSSD;834;1,00;-;22
12;PB;7;Hejl Petr Ing. CSc.;59;PB;BEZPP;15;1,22;-;-
10;SsCR;1;Hemer Ales Mgr.;46;SsCR;SsCR;70;9,48;-;-
24;KC;9;Henn Ivan Mgr. Bc.;59;KC;BEZPP;8;0,66;-;-
9;Zmena;27;Hepnar Petr;42;Zmena;BEZPP;46;1,04;-;-
11;KDU-CSL;1;Herman Daniel Mgr.;50;KDU-CSL;KDU-CSL;6305;19,67;*;1
9;Zmena;20;Hertusova Simona;39;Zmena;HS;37;0,84;-;-
23;SZ;11;Himl Pavel Dr. phil.;42;SZ;SZ;790;2,08;-;-
18;DSSS;27;Hlavackova Jaroslava;68;DSSS;BEZPP;8;0,32;-;-
11;KDU-CSL;29;Hlavacova Martina Ing.;32;KDU-CSL;BEZPP;355;1,10;-;28
13;Suveren.;28;Hlotak Valdemar Ing. CSc.;71;Suveren.;BEZPP;6;0,75;-;-
10;SsCR;7;Hnat Vaclav;67;SsCR;SsCR;8;1,08;-;-
13;Suveren.;22;Hodek Jindrich;36;Suveren.;BEZPP;5;0,62;-;-
1;CSSD;36;Hodek Pavel Mgr. Bc.;39;CSSD;CSSD;320;0,38;-;32
24;KC;35;Hodik Jaroslav;68;KC;BEZPP;5;0,41;-;-
21;KSCM;15;Hoffman Frantisek JUDr.;62;KSCM;KSCM;663;1,32;-;13
20;ANO 2011;4;Holecek Jiri Bc.;41;ANO 2011;ANO 2011;2099;2,17;*;4
13;Suveren.;31;Holeckova Sarka;23;Suveren.;BEZPP;5;0,62;-;-
18;DSSS;28;Holik Petr;42;DSSS;BEZPP;14;0,56;-;-
3;Pirati;17;Holovsky Sebastian;28;Pirati;Pirati;161;0,75;-;-
2;Svobodni;35;Holubova Alice;28;Svobodni;Svobodni;69;0,31;-;-
17;Usvit;32;Hora Jan;29;Usvit;BEZPP;95;0,50;-;31
21;KSCM;8;Horak Jiri PhDr. CSc.;60;KSCM;KSCM;506;1,01;-;6
22;LEV 21;2;Horak Karel JUDr. Mgr.;46;LEV 21;LEV 21;17;4,52;-;-
21;KSCM;32;Hosek Karel RSDr.;68;KSCM;KSCM;68;0,13;-;30
11;KDU-CSL;5;Hosek Marian MUDr.;62;KDU-CSL;KDU-CSL;2420;7,55;-;3
24;KC;25;Hostalek Stanislav PhDr.;66;KC;BEZPP;5;0,41;-;-
23;SZ;17;Hrabal Ladislav Ing. CSc.;75;SZ;BEZPP;184;0,48;-;-
10;SsCR;23;Hradek Ladislav;56;SsCR;BEZPP;11;1,49;-;-
20;ANO 2011;22;Hrdlickova Radka Bc.;35;ANO 2011;ANO 2011;437;0,45;-;17
23;SZ;9;Hromada Jiri MgA.;55;SZ;BEZPP;1513;3,99;-;-
21;KSCM;36;Hronova Alena Mgr.;62;KSCM;KSCM;121;0,24;-;34
9;Zmena;15;Hrusinsky Martin;28;Zmena;HS;78;1,77;-;-
21;KSCM;6;Hruza Ivan JUDr.;59;KSCM;KSCM;1511;3,02;-;4
21;KSCM;20;Hudecek Jiri prof. RNDr. CSc.;59;KSCM;SDS;934;1,86;-;18
11;KDU-CSL;36;Hulicius Eduard Mgr. MA;32;KDU-CSL;KDU-CSL;699;2,18;-;35
23;SZ;8;Hulova Petra Ph.D.;34;SZ;SZ;2648;6,98;-;-
21;KSCM;24;Chaloupka Vladimir;55;KSCM;KSCM;169;0,33;-;22
4;TOP 09;9;Chlupacova Zuzana JUDr.;58;TOP 09;STAN;3590;2,65;-;2
13;Suveren.;7;Chovancova Marta JUDr. LL.M.;55;Suveren.;BEZPP;31;3,88;-;-
22;LEV 21;27;Chrpa Pavel;55;LEV 21;LEV 21;2;0,53;-;-
17;Usvit;25;Chudy Stanislav Ing.;74;Usvit;BEZPP;44;0,23;-;24
5;HLVZHURU;8;Jakubuv Michaela;37;HLVZHURU;SBB;82;3,16;-;-
15;SPOZ;11;Janda Jiri;54;SPOZ;SPOZ;23;0,42;-;-
2;Svobodni;33;Janda Karel Ing.;33;Svobodni;Svobodni;39;0,17;-;-
6;ODS;7;Janderova Jaroslava JUDr.;63;ODS;ODS;1468;2,08;-;4
5;HLVZHURU;5;Janecek Jiri;39;HLVZHURU;BEZPP;78;3,01;-;-
15;SPOZ;4;Jankova Vlasta MUDr.;62;SPOZ;SPOZ;271;4,99;-;-
20;ANO 2011;23;Jankovsky Milan Ing.;27;ANO 2011;ANO 2011;245;0,25;-;18
6;ODS;35;Janku Jiri Ing.;46;ODS;ODS;983;1,39;-;31
21;KSCM;31;Janouch Roman Mgr.;40;KSCM;KSCM;517;1,03;-;29
6;ODS;34;Jarolim Jan Ing.;67;ODS;ODS;844;1,19;-;30
23;SZ;2;Jechova Katerina Mgr.;51;SZ;SZ;2174;5,73;-;-
20;ANO 2011;15;Jetmar Petr;58;ANO 2011;ANO 2011;201;0,20;-;10
17;Usvit;34;Jezkova Jitka;33;Usvit;BEZPP;143;0,76;-;33
18;DSSS;19;Jiranek Frantisek;43;DSSS;DSSS;16;0,64;-;-
6;ODS;33;Jiraskova Marketa MUDr.;64;ODS;ODS;1001;1,42;-;29
11;KDU-CSL;17;Jirsak Tomas Mgr.;41;KDU-CSL;KDU-CSL;357;1,11;-;16
22;LEV 21;34;Jirsakova Jarmila;60;LEV 21;LEV 21;3;0,79;-;-
4;TOP 09;23;Jirik Michal;43;TOP 09;TOP 09;159;0,11;-;16
10;SsCR;26;Juna Josef;32;SsCR;SsCR;20;2,71;-;-
5;HLVZHURU;33;Kabickova Jana;53;HLVZHURU;UNP;26;1,00;-;-
13;Suveren.;27;Kabickova Zuzana;35;Suveren.;BEZPP;12;1,50;-;-
11;KDU-CSL;20;Kajpr Daniel;44;KDU-CSL;KDU-CSL;226;0,70;-;19
3;Pirati;8;Kallasch Ondrej;22;Pirati;Pirati;257;1,20;-;-
16;OBC_2011;2;Kalouskova Sorfova Alzbeta Mgr.;45;OBC_2011;BEZPP;27;5,93;-;-
13;Suveren.;33;Karlovsky Jindrich Ing.;59;Suveren.;BEZPP;5;0,62;-;-
24;KC;8;Kartakova Daniela;48;KC;BEZPP;18;1,49;-;-
5;HLVZHURU;20;Kasal Karel;63;HLVZHURU;BEZPP;17;0,65;-;-
15;SPOZ;36;Kasik Jiri MUDr. Ph.D.;57;SPOZ;BEZPP;174;3,20;-;-
9;Zmena;31;Kastel Miroslav;58;Zmena;BEZPP;20;0,45;-;-
12;PB;36;Kasparova Barbora;22;PB;BEZPP;13;1,06;-;-
24;KC;32;Kassovicova Zuzana Mgr.;55;KC;BEZPP;9;0,74;-;-
22;LEV 21;18;Kavale Jiri JUDr.;66;LEV 21;LEV 21;6;1,59;-;-
23;SZ;28;Kavkova Eva Mgr.;37;SZ;SZ;573;1,51;-;-
2;Svobodni;36;Kefurt Robert;50;Svobodni;Svobodni;42;0,19;-;-
10;SsCR;9;Kesl Karel;58;SsCR;BEZPP;11;1,49;-;-
3;Pirati;19;Kheck Patrick Mgr.;32;Pirati;BEZPP;89;0,41;-;-
5;HLVZHURU;12;Kindler Krystof;35;HLVZHURU;PaS;95;3,66;-;-
13;Suveren.;10;Kinkal Ludek DiS.;51;Suveren.;BEZPP;4;0,50;-;-
17;Usvit;29;Klaus Vaclav;57;Usvit;BEZPP;283;1,50;-;28
9;Zmena;30;Kleinova Brzakova Pavlina Mgr. PhD.;41;Zmena;BEZPP;109;2,47;-;-
1;CSSD;5;Klima Karel Ing.;37;CSSD;CSSD;2478;2,99;-;2
15;SPOZ;31;Klimtova Vitezslava;72;SPOZ;BEZPP;33;0,60;-;-
11;KDU-CSL;35;Klouda Jan Ing.;43;KDU-CSL;KDU-CSL;135;0,42;-;34
5;HLVZHURU;4;Kloudova Gabriela Ing.;31;HLVZHURU;BEZPP;128;4,94;-;-
13;Suveren.;3;Klusacek Michal Ing.;34;Suveren.;CSNS;27;3,38;-;-
13;Suveren.;17;Kobes Jan Ing.;50;Suveren.;BEZPP;3;0,37;-;-
6;ODS;32;Kodetova Sona;68;ODS;ODS;1158;1,64;-;28
6;ODS;5;Kohoutova Lenka Bc.;45;ODS;ODS;3791;5,38;-;1
21;KSCM;35;Kokoska Petr JUDr.;58;KSCM;BEZPP;227;0,45;-;33
24;KC;6;Kolar Milan;57;KC;KC;6;0,49;-;-
23;SZ;6;Kolinska Petra Mgr.;38;SZ;SZ;3041;8,02;-;-
23;SZ;34;Kolmanova Dagmar;54;SZ;SZ;76;0,20;-;-
10;SsCR;35;Kolmasova Renata;35;SsCR;BEZPP;2;0,27;-;-
13;Suveren.;20;Kolomy Ludek;60;Suveren.;BEZPP;1;0,12;-;-
15;SPOZ;34;Konecna Nadezda;50;SPOZ;SPOZ;10;0,18;-;-
4;TOP 09;14;Korba Karel Ing.;45;TOP 09;TOP 09;1127;0,83;-;7
4;TOP 09;3;Korte Daniel PhDr.;60;TOP 09;TOP 09;4620;3,41;*;3
18;DSSS;31;Korinkova Sarka;42;DSSS;BEZPP;9;0,36;-;-
20;ANO 2011;26;Kos Ladislav Ing.;55;ANO 2011;HPP 11;611;0,63;-;21
6;ODS;9;Kos Vojtech Ing. MBA;41;ODS;ODS;1320;1,87;-;6
1;CSSD;12;Koskuba Jiri MUDr.;57;CSSD;CSSD;4772;5,77;*;2
9;Zmena;8;Kostlanova Roubalova Vera Ing.;65;Zmena;BEZPP;83;1,88;-;-
6;ODS;26;Kosan Petr Ing.;32;ODS;ODS;776;1,10;-;22
24;KC;4;Kosova Katerina;33;KC;BEZPP;33;2,73;-;-
21;KSCM;23;Kotek Tomas;40;KSCM;KSCM;895;1,79;-;21
15;SPOZ;29;Kotoucova Michaela DiS.;35;SPOZ;SPOZ;21;0,38;-;-
23;SZ;12;Kotvova Iva Mgr.;54;SZ;SZ;411;1,08;-;-
2;Svobodni;24;Kouba Jachym;26;Svobodni;Svobodni;77;0,35;-;-
4;TOP 09;7;Koubek Jiri Mgr.;37;TOP 09;TOP 09;1838;1,36;*;7
6;ODS;25;Kousalikova Marie Ing.;67;ODS;ODS;2203;3,13;-;21
17;Usvit;23;Koutny Daniel;31;Usvit;BEZPP;91;0,48;-;22
21;KSCM;4;Krajca Milan;30;KSCM;KSCM;1436;2,87;-;2
11;KDU-CSL;26;Kral Jiri Mgr.;40;KDU-CSL;KDU-CSL;118;0,36;-;25
13;Suveren.;12;Kramny Miloslav MUDr.;55;Suveren.;BEZPP;16;2,00;-;-
2;Svobodni;12;Krasa Tomas Ing.;42;Svobodni;Svobodni;194;0,88;-;-
24;KC;3;Kratky Petr Mgr. Bc. BBS;38;KC;KC;43;3,56;-;-
5;HLVZHURU;7;Kratochvilova Nadezda JUDr.;49;HLVZHURU;UNP;46;1,77;-;-
23;SZ;14;Kratochvilova Silvie Mgr.;35;SZ;SZ;245;0,64;-;-
3;Pirati;9;Krausova Michaela;21;Pirati;Pirati;524;2,45;-;-
5;HLVZHURU;22;Krausova Natalia Bc.;41;HLVZHURU;BEZPP;14;0,54;-;-
24;KC;30;Krcek Jan;71;KC;KC;9;0,74;-;-
17;Usvit;14;Krcek Milan Ing.;50;Usvit;BEZPP;236;1,25;-;13
1;CSSD;22;Krejcova Drahoslava;51;CSSD;CSSD;364;0,44;-;18
12;PB;14;Krejcu Jiri;45;PB;BEZPP;16;1,30;-;-
4;TOP 09;32;Krobova Hasova Monika JUDr.;50;TOP 09;TOP 09;1212;0,89;-;25
15;SPOZ;5;Kroh Michael doc. Ing. CSc.;65;SPOZ;SPOZ;172;3,16;-;-
17;Usvit;4;Kruta Jan;67;Usvit;BEZPP;506;2,69;-;3
18;DSSS;15;Krivanek Karel;49;DSSS;DSSS;28;1,13;-;-
5;HLVZHURU;34;Krivankova Klisakova Dana;37;HLVZHURU;UNP;22;0,84;-;-
24;KC;36;Kubecka Ivo;68;KC;BEZPP;5;0,41;-;-
2;Svobodni;4;Kubicek Jiri Ing.;33;Svobodni;Svobodni;812;3,70;-;-
10;SsCR;18;Kucera Robert;44;SsCR;SsCR;25;3,38;-;-
11;KDU-CSL;31;Kucharova Ludmila Mgr.;53;KDU-CSL;KDU-CSL;129;0,40;-;30
11;KDU-CSL;27;Kuchtova Perla Ing. Ph.D.;54;KDU-CSL;KDU-CSL;229;0,71;-;26
5;HLVZHURU;17;Kus Daniel Ing.;41;HLVZHURU;UNP;15;0,57;-;-
12;PB;5;Kutina Frantisek;56;PB;BEZPP;9;0,73;-;-
21;KSCM;30;Kvapil Jaroslav Bc. DiS.;35;KSCM;KSCM;432;0,86;-;28
20;ANO 2011;6;Kvicala Petr Mgr.;38;ANO 2011;ANO 2011;1181;1,22;-;1
2;Svobodni;15;Kykalova Ramesova Katerina;48;Svobodni;Svobodni;146;0,66;-;-
12;PB;19;Kypry Daniel;27;PB;BEZPP;5;0,40;-;-
